task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
27	a2/155137	8520	MERGER (Gathering demux...)	CACHED	0	2022-06-02 16:37:50.706	1.6s	1.5s	-	-	-	-	-
26	30/22fad3	9216	qc_post (Running FastQC...)	CACHED	0	2022-06-02 16:37:52.366	8s	8s	-	-	-	-	-
19	77/20b350	8710	MERGER (Gathering demux...)	CACHED	0	2022-06-02 16:37:51.076	1s	915ms	-	-	-	-	-
15	52/753278	7587	MERGER (Gathering demux...)	CACHED	0	2022-06-02 16:37:48.727	1.3s	1.3s	-	-	-	-	-
22	46/c611f9	10795	qc_post (Running FastQC...)	CACHED	0	2022-06-02 16:38:12.444	6s	5.9s	-	-	-	-	-
18	bd/0883f5	9508	qc_post (Running FastQC...)	CACHED	0	2022-06-02 16:37:54.084	6.5s	6.4s	-	-	-	-	-
16	c4/8785af	9129	qc_post (Running FastQC...)	CACHED	0	2022-06-02 16:37:52.181	7.2s	7.1s	-	-	-	-	-
34	74/a8bd7c	9095	TRIMMER (Trimming by TagDust2...)	CACHED	0	2022-06-02 16:37:52.103	4m 37s	4m 37s	-	-	-	-	-
35	22/892d0f	11101	TRIMMER (Trimming by TagDust2...)	CACHED	0	2022-06-02 16:38:18.401	4m 47s	4m 47s	-	-	-	-	-
30	14/2a7443	8293	MERGER (Gathering demux...)	CACHED	0	2022-06-02 16:37:50.057	1.4s	1.3s	-	-	-	-	-
40	2c/1e192b	10071	TRIMMER (Trimming by TagDust2...)	CACHED	0	2022-06-02 16:38:00.621	4m 39s	4m 39s	-	-	-	-	-
36	44/bb5cf8	13506	qc_post (Running FastQC...)	CACHED	0	2022-06-02 16:42:29.092	6.1s	6s	-	-	-	-	-
51	3c/b27d99	15438	qc_post (Running FastQC...)	CACHED	0	2022-06-02 16:43:05.148	6.1s	6s	-	-	-	-	-
38	a6/03552b	14215	TRIMMER (Trimming by TagDust2...)	CACHED	0	2022-06-02 16:42:41.872	5m 23s	5m 23s	-	-	-	-	-
